,usrID,now_eval,num_epoch,now_epoch_n,num_turn,now_turn,calcAction,Loss,reward,do_motion,do_direction,is_possible,now_position,next_position,is_confliction,on_eps_zero
0,1,49,100,1,36,1,8,0.22725000000000004,-0.667,move,rd,5,"[8, 2]","[9, 3]",False,True
1,2,49,100,1,36,1,16,0.22725000000000004,-0.583,remove,rd,2,"[1, 8]","[2, 9]",False,True
0,1,49,100,1,36,2,14,0.17654999999999998,0.25,remove,ld,2,"[9, 3]","[8, 4]",False,True
1,2,49,100,1,36,2,10,0.17654999999999998,-0.133,remove,u,2,"[1, 8]","[1, 7]",False,True
0,1,49,100,1,36,3,7,0.25780000000000003,-0.217,move,d,5,"[9, 3]","[9, 4]",False,True
1,2,49,100,1,36,3,1,0.25780000000000003,-0.3,move,u,5,"[1, 8]","[1, 7]",False,True
0,1,49,100,1,36,4,5,0.23590000000000005,-0.417,move,r,1,"[9, 4]","[10, 4]",False,True
1,2,49,100,1,36,4,6,0.23590000000000005,0.0,move,ld,5,"[1, 7]","[0, 8]",False,True
0,1,49,100,1,36,5,15,0.17204999999999998,-0.317,remove,d,2,"[9, 4]","[9, 5]",False,True
1,2,49,100,1,36,5,1,0.17204999999999998,0.167,move,u,5,"[0, 8]","[0, 7]",False,True
0,1,49,100,1,36,6,4,0.14079999999999998,0.2,move,z,5,"[9, 4]","[9, 4]",False,True
1,2,49,100,1,36,6,5,0.14079999999999998,-0.417,move,r,5,"[0, 7]","[1, 7]",False,True
0,1,49,100,1,36,7,16,0.13340000000000002,-0.25,remove,rd,1,"[9, 4]","[10, 5]",False,True
1,2,49,100,1,36,7,5,0.13340000000000002,0.25,move,r,5,"[1, 7]","[2, 7]",False,True
0,1,49,100,1,36,8,16,0.20004999999999998,-0.4,remove,rd,1,"[9, 4]","[10, 5]",False,True
1,2,49,100,1,36,8,1,0.20004999999999998,0.083,move,u,5,"[2, 7]","[2, 6]",False,True
0,1,49,100,1,36,9,10,0.2799500000000001,-0.067,remove,u,5,"[9, 4]","[9, 3]",False,True
1,2,49,100,1,36,9,5,0.2799500000000001,0.0,move,r,5,"[2, 6]","[3, 6]",False,True
0,1,49,100,1,36,10,14,0.14139999999999997,-0.75,remove,ld,2,"[9, 4]","[8, 5]",False,True
1,2,49,100,1,36,10,16,0.14139999999999997,-0.083,remove,rd,2,"[3, 6]","[4, 7]",False,True
0,1,49,100,1,36,11,5,0.16254999999999997,-0.133,move,r,1,"[9, 4]","[10, 4]",False,True
1,2,49,100,1,36,11,11,0.16254999999999997,-1.05,remove,ru,2,"[3, 6]","[4, 5]",False,True
0,1,49,100,1,36,12,5,0.42750000000000005,-0.067,move,r,1,"[9, 4]","[10, 4]",False,True
1,2,49,100,1,36,12,14,0.42750000000000005,0.45,remove,ld,5,"[3, 6]","[2, 7]",False,True
0,1,49,100,1,36,13,3,0.25825,-0.65,move,l,5,"[9, 4]","[8, 4]",False,True
1,2,49,100,1,36,13,4,0.25825,-0.167,move,z,5,"[3, 6]","[3, 6]",False,True
0,1,49,100,1,36,14,3,0.9,0.0,move,l,5,"[8, 4]","[7, 4]",False,True
1,2,49,100,1,36,14,5,0.9,0.083,move,r,5,"[3, 6]","[4, 6]",False,True
