,usrID,now_eval,num_epoch,now_epoch_n,num_turn,now_turn,calcAction,Loss,reward,do_motion,do_direction,is_possible,now_position,next_position,is_confliction,on_eps_zero
0,1,46,100,1,30,1,8,0.4195499999999999,-0.333,move,rd,5,"[8, 2]","[9, 3]",False,True
1,2,46,100,1,30,1,8,0.4195499999999999,-0.583,move,rd,5,"[1, 5]","[2, 6]",False,True
0,1,46,100,1,30,2,12,0.9014,0.083,remove,l,2,"[9, 3]","[8, 3]",False,True
1,2,46,100,1,30,2,2,0.9014,0.167,move,ru,5,"[2, 6]","[3, 5]",False,True
0,1,46,100,1,30,3,0,0.6508999999999998,-0.3,move,lu,5,"[9, 3]","[8, 2]",False,True
1,2,46,100,1,30,3,12,0.6508999999999998,-0.25,remove,l,2,"[3, 5]","[2, 5]",False,True
0,1,46,100,1,30,4,14,0.46055,0.083,remove,ld,2,"[8, 2]","[7, 3]",False,True
1,2,46,100,1,30,4,0,0.46055,0.117,move,lu,5,"[3, 5]","[2, 4]",False,True
0,1,46,100,1,30,5,0,0.3955000000000001,-0.55,move,lu,5,"[8, 2]","[7, 1]",False,True
1,2,46,100,1,30,5,9,0.3955000000000001,-0.167,remove,lu,2,"[2, 4]","[1, 3]",False,True
0,1,46,100,1,30,6,4,0.37160000000000004,-0.25,move,z,5,"[7, 1]","[7, 1]",False,True
1,2,46,100,1,30,6,1,0.37160000000000004,-0.217,move,u,5,"[2, 4]","[2, 3]",False,True
0,1,46,100,1,30,7,0,0.38394999999999996,0.25,move,lu,5,"[7, 1]","[6, 0]",False,True
1,2,46,100,1,30,7,11,0.38394999999999996,0.5,remove,ru,2,"[2, 3]","[3, 2]",False,True
0,1,46,100,1,30,8,4,0.8785000000000001,0.083,move,z,5,"[6, 0]","[6, 0]",False,True
1,2,46,100,1,30,8,1,0.8785000000000001,-0.633,move,u,5,"[2, 3]","[2, 2]",False,True
0,1,46,100,1,30,9,1,0.3666499999999999,0.0,move,u,1,"[6, 0]","[6, -1]",False,True
1,2,46,100,1,30,9,2,0.3666499999999999,-0.583,move,ru,5,"[2, 2]","[3, 1]",False,True
0,1,46,100,1,30,10,5,0.33294999999999997,-0.817,move,r,5,"[6, 0]","[7, 0]",False,True
