,usrID,now_eval,num_epoch,now_epoch_n,num_turn,now_turn,calcAction,Loss,reward,do_motion,do_direction,is_possible,now_position,next_position,is_confliction,on_eps_zero
0,1,47,100,1,31,1,0,0.25234999999999996,-0.333,move,lu,5,"[1, 2]","[0, 1]",False,True
1,2,47,100,1,31,1,14,0.25234999999999996,-0.667,remove,ld,2,"[8, 6]","[7, 7]",False,True
0,1,47,100,1,31,2,5,0.9404999999999999,0.083,move,r,5,"[0, 1]","[1, 1]",False,True
1,2,47,100,1,31,2,2,0.9404999999999999,-0.3,move,ru,5,"[8, 6]","[9, 5]",False,True
0,1,47,100,1,31,3,16,0.46369999999999995,-0.25,remove,rd,2,"[1, 1]","[2, 2]",False,True
1,2,47,100,1,31,3,7,0.46369999999999995,0.333,move,d,5,"[9, 5]","[9, 6]",False,True
0,1,47,100,1,31,4,14,0.16835000000000003,-0.467,remove,ld,2,"[1, 1]","[0, 2]",False,True
1,2,47,100,1,31,4,1,0.16835000000000003,-0.083,move,u,5,"[9, 6]","[9, 5]",False,True
0,1,47,100,1,31,5,2,0.15565,0.117,move,ru,5,"[1, 1]","[2, 0]",False,True
1,2,47,100,1,31,5,0,0.15565,-0.25,move,lu,5,"[9, 5]","[8, 4]",False,True
0,1,47,100,1,31,6,10,0.38010000000000005,0.0,remove,u,1,"[2, 0]","[2, -1]",False,True
1,2,47,100,1,31,6,5,0.38010000000000005,0.167,move,r,5,"[8, 4]","[9, 4]",False,True
0,1,47,100,1,31,7,15,0.10884999999999997,-0.983,remove,d,2,"[2, 0]","[2, 1]",False,True
1,2,47,100,1,31,7,2,0.10884999999999997,0.583,move,ru,1,"[9, 4]","[10, 3]",False,True
0,1,47,100,1,31,8,1,0.19475,0.033,move,u,1,"[2, 0]","[2, -1]",False,True
1,2,47,100,1,31,8,16,0.19475,-0.4,remove,rd,1,"[9, 4]","[10, 5]",False,True
0,1,47,100,1,31,9,14,0.2723,-0.483,remove,ld,5,"[2, 0]","[1, 1]",False,True
1,2,47,100,1,31,9,7,0.2723,-1.233,move,d,5,"[9, 4]","[9, 5]",False,True
0,1,47,100,1,31,10,4,0.15264999999999998,0.083,move,z,5,"[2, 0]","[2, 0]",False,True
1,2,47,100,1,31,10,4,0.15264999999999998,0.417,move,z,5,"[9, 5]","[9, 5]",False,True
0,1,47,100,1,31,11,14,0.195,-0.083,remove,ld,2,"[2, 0]","[1, 1]",False,True
1,2,47,100,1,31,11,14,0.195,0.0,remove,ld,5,"[9, 5]","[8, 6]",False,True
0,1,47,100,1,31,12,1,0.14815,0.033,move,u,1,"[2, 0]","[2, -1]",False,True
1,2,47,100,1,31,12,6,0.14815,0.083,move,ld,5,"[9, 5]","[8, 6]",False,True
0,1,47,100,1,31,13,5,0.15625,-0.733,move,r,5,"[2, 0]","[3, 0]",False,True
1,2,47,100,1,31,13,5,0.15625,0.167,move,r,5,"[8, 6]","[9, 6]",False,True
0,1,47,100,1,31,14,4,0.08869999999999999,0.0,move,z,5,"[3, 0]","[3, 0]",False,True
1,2,47,100,1,31,14,11,0.08869999999999999,-1.0,remove,ru,1,"[9, 6]","[10, 5]",False,True
0,1,47,100,1,31,15,12,0.13325000000000004,0.167,remove,l,5,"[3, 0]","[2, 0]",False,True
1,2,47,100,1,31,15,14,0.13325000000000004,0.183,remove,ld,2,"[9, 6]","[8, 7]",False,True
0,1,47,100,1,31,16,5,0.20175,-0.083,move,r,5,"[3, 0]","[4, 0]",False,True
1,2,47,100,1,31,16,11,0.20175,-0.217,remove,ru,1,"[9, 6]","[10, 5]",False,True
0,1,47,100,1,31,17,0,0.1701,0.0,move,lu,1,"[4, 0]","[3, -1]",False,True
1,2,47,100,1,31,17,5,0.1701,-0.067,move,r,1,"[9, 6]","[10, 6]",False,True
0,1,47,100,1,31,18,1,0.15134999999999998,-0.483,move,u,1,"[4, 0]","[4, -1]",False,True
1,2,47,100,1,31,18,15,0.15134999999999998,-0.817,remove,d,2,"[9, 6]","[9, 7]",False,True
0,1,47,100,1,31,19,6,0.17985,-0.233,move,ld,5,"[4, 0]","[3, 1]",False,True
1,2,47,100,1,31,19,1,0.17985,-0.05,move,u,5,"[9, 6]","[9, 5]",False,True
0,1,47,100,1,31,20,13,0.13340000000000002,0.333,remove,r,2,"[3, 1]","[4, 1]",False,True
1,2,47,100,1,31,20,5,0.13340000000000002,-0.333,move,r,1,"[9, 5]","[10, 5]",False,True
0,1,47,100,1,31,21,12,0.19399999999999998,-0.467,remove,l,2,"[3, 1]","[2, 1]",False,True
1,2,47,100,1,31,21,6,0.19399999999999998,0.017,move,ld,5,"[9, 5]","[8, 6]",False,True
0,1,47,100,1,31,22,16,0.16055,-0.8,remove,rd,2,"[3, 1]","[4, 2]",False,True
1,2,47,100,1,31,22,3,0.16055,-0.167,move,l,5,"[8, 6]","[7, 6]",False,True
0,1,47,100,1,31,23,16,0.16935,-0.3,remove,rd,2,"[3, 1]","[4, 2]",False,True
1,2,47,100,1,31,23,9,0.16935,0.083,remove,lu,2,"[7, 6]","[6, 5]",False,True
0,1,47,100,1,31,24,11,0.4722000000000001,0.2,remove,ru,5,"[3, 1]","[4, 0]",False,True
1,2,47,100,1,31,24,13,0.4722000000000001,-0.467,remove,r,5,"[7, 6]","[8, 6]",False,True
0,1,47,100,1,31,25,14,0.11825000000000001,-0.333,remove,ld,2,"[3, 1]","[2, 2]",False,True
1,2,47,100,1,31,25,5,0.11825000000000001,0.417,move,r,5,"[7, 6]","[8, 6]",False,True
0,1,47,100,1,31,26,11,0.10939999999999998,-0.3,remove,ru,2,"[3, 1]","[4, 0]",False,True
1,2,47,100,1,31,26,7,0.10939999999999998,-0.5,move,d,5,"[8, 6]","[8, 7]",False,True
0,1,47,100,1,31,27,2,0.12945,-0.217,move,ru,5,"[3, 1]","[4, 0]",False,True
1,2,47,100,1,31,27,5,0.12945,-0.167,move,r,5,"[8, 7]","[9, 7]",False,True
0,1,47,100,1,31,28,1,0.0838,0.083,move,u,1,"[4, 0]","[4, -1]",False,True
1,2,47,100,1,31,28,16,0.0838,0.667,remove,rd,1,"[9, 7]","[10, 8]",False,True
0,1,47,100,1,31,29,6,0.16244999999999998,-0.4,move,ld,5,"[4, 0]","[3, 1]",False,True
1,2,47,100,1,31,29,14,0.16244999999999998,-1.233,remove,ld,2,"[9, 7]","[8, 8]",False,True
0,1,47,100,1,31,30,16,0.1631,0.167,remove,rd,2,"[3, 1]","[4, 2]",False,True
1,2,47,100,1,31,30,2,0.1631,0.033,move,ru,1,"[9, 7]","[10, 6]",False,True
0,1,47,100,1,31,31,0,0.1207,-0.8,move,lu,5,"[3, 1]","[2, 0]",False,True
1,2,47,100,1,31,31,14,0.1207,-0.15,remove,ld,2,"[9, 7]","[8, 8]",False,True
0,1,47,100,2,41,1,5,0.1145,-0.333,move,r,5,"[9, 6]","[10, 6]",False,True
1,2,47,100,2,41,1,9,0.1145,-0.417,remove,lu,2,"[1, 1]","[0, 0]",False,True
0,1,47,100,2,41,2,9,0.1224,-0.333,remove,lu,2,"[10, 6]","[9, 5]",False,True
